vendor_name,address,account_number,claim_amount
11159534 CANADA INC,16 london plane dr Markham ON L 6C 0X7,,"2,374.66"
11159534 CANADA INC,4441 HWY7 EAST Unionville ON L 3R 1M1,,"1,223.47"
12038218 Canada Inc,1 Isaiah Dr Woodbridge ON L 4H 0C3,,"1,688.52"
12329697 CANADA INC,24 ROUGE ST MARKHAM ON L 3P 1K8,,"7,783.36"
13159302 Canada Inc,87 sandyhaven dr scarborough ON M 1W3H8,,664.94
13614603 CANADA INC,243 Dunview Ave North York ON M 2N4J3,,"3,916.52"
14209915 Canada Inc,"3225 Hwy 7 E, Unit 1-A Markham ON L 3R 3P3",,490.23
2781450 Ontario Inc,28 Donald Buttress Blvd West Markham ON L 6C 0P1,,299.30
5034233 Ontario Corp,2165 Williams Pkwy Bramton ON L 6S 6B8,,"9,156.89"
6 DEGREES HOLDINGS (11753649 CANADA INC,P.O . Box 8492 St John's NL A 1B 3T3 ),,"11,766.68"
9317-0124 QUEBEC INC,601 Gordon Baker Rd North York ON M 2H3B8,,"6,797.17"
9450 -7811 Quebec Inc,7320 CORDNER RUE LASALLE QC H 8N2W8,DOKING,"1,014.58"
ADORACARE CANADA INC,"160 BRADWICK DR , UNIT 30 CONCORD ON L 4K 1K8",,"20,007.10"
Ailand Accessories Co,75 The Donway W. Unit 809 North York ON M 3C 2E9,,260.02
AIMCO TRADING LTD,4131 Vanguard Road Richmond BC V 6X 2P6,,"5,335.53"
AJ International Trading,375 Edward Ave Richmond Hill ON L 4C 5E5,,"159,244.27"
ALLIED PIONNEERS ENTERPRISES TORONTO CO,"235 Riviera Drive, Unit 2 Toronto ON L 3R 5J9",,"21,838.02"
American Express Company,2225 sheppard avenue east Toronto ON M 2J 5C2,,"356,858.00"
ANTBOX,#20-8481 Keele St Concord ON L 4K 1Z6,,"9,417.41"
Ark Global Trading,41 Sandham Crescent Markham ON L 3S 4J7,,324.60
Avison Young ITF Rothman Real Estate Investment Ltd,"Suite 2500- 222 Bay Street,PO Box 245 Toronto ON M 5K 1J5",,"137,229.00"
B&P WHOLES,58 truman rd north york ON M 2L 2L6,,"3,189.88"
BAI&SUN FOOD DISTRITION INC,710 Progress Ave Unit 7 & 8 Scarborough ON M 1H 2X3,,"162,917.20"
BAO Lab,2750 14th Ave Markham ON L 3R 0B6,,"9,994.92"
CANADA BERRIES GROUP COMPANIES,627 -6081 NO .3 ROAD RICHMOND BC V 6Y 2B2,,260.00
CANADA POST CORPORATION PAYMENT PROCESSING,2701 RIVERSIDE DRIVE Ottawa ON K 1A 0B1,,"5,705.23"
CANADA ROYAL MILK,"1133 Melville Street, Suite 2700 Vancouver BC V 6E 4E5",BC-20009,"2,614.48"
CANADA ROYAL MILK,"1133 Melville Street, Suite 2700 Vancouver BC V 6E 4E5",ON-20006,"1,016.74"
CANADA ROYAL MILK,"1133 Melville Street, Suite 2700 Vancouver BC V 6E 4E5",ON-20008,"5,379.46"
Capelin Garment Corp,3005 -761 Bay Street Toronto ON M 5G 2R2,,"1,411.33"
CBL Trading Inc,10 Newgale Gate Unit 4-5 Scarborough ON M 1X 1C5,,"191,468.50"
CHINESE BOOK CITY,6-9033 Leslie St Richmond Hill ON L 4B4K3,,"21,962.29"
CONSOLIDATED CANADIAN ENTERPRISE LTD,UNIT 100 -13500 VERDUN PLACE RICHMOND BC V 6V 1V2,,"27,496.98"
Creative Workshop,11-80 West Beaver Creek Richmond Hill ON L 4B 1H3,,393.78
DLJ TRADING INC,158 -11860 Hammersmith Way Richmond BC V 7A 5G1,,"1,705.48"
DOKING,7320 Rue Cordner LaSalle QC H 8N 2W8,ON-20026,"4,256.67"
East Starland International,2450 MORINGSIDE AVE UNIT 8 TORONTO ON M 1X 2E5,,475.85
EF Trading,24-1295 Eglinton Ave E Mississauga ON L 4W 3E6,,"19,664.22"
EMME FOOD ENTERPRISES,#100 -14351 Burrows Rd Richmond BC V 6V 1K9,,"22,632.79"
Employees,355 Apple Creek Blvd Markham ON L 3R 9X7,,"318,000.00"
ENSONKAN Canada,"278, 13986 Cambie Road Richmond BC V 6V2K3",,"2,011.51"
EVERY GREEN INTERMATIONAL INC,2071McCowan Road SCARBOROUGH ON M 1S 3Y6,,"28,051.68"
EZLINK LOGISTICS LTD,6711 Elmbridge Way #200 Richmond BC V 6K 4V2,,"14,155.05"
FANTONG INC,25 sandwood Dr Thornhill ON L 4J 8W8,,376.00
FEDEX CANADA,5550 Explorer Dr #600 Mississauga ON L 4W 0C3,,"117,731.84"
Fidelitech Canada Inc,217 Bachman Dr Vaughan ON L 6A 3V7,,"116,403.04"
First Century International Culture Development Co,"488 West Kings Road , Ltd North Vancouver BC V 7N 2M3",,961.65
FIVE CONTINENTS INTERNATIONAL LTD,1880 Birchmount Rd Scarborough ON M 1P 2J7,,"589,654.50"
FreshenOPT,85 Ferrier Street Markham ON L 3R 3K6,,625.61
FRESHENOPT,85 Ferrier Street Markham ON L 3R 3K6,,"1,997.72"
FUNLLY FUNLLY International Trade,16 Kirkdale Crescent North York ON M 3B 2J8,,"30,284.67"
Galaxy Security Corporation,"7755 Warden Ave, Unit 1 Markham ON L 3R 0N3",,986.10
GLANMOOR,"500 DORIS AVENUE, SUITE 322 TORONTO ON M 2N 0C1",,"1,164.74"
Global Royal Products,Unit 1B 160 West Beaver Creek Rd ON Richmond Hill ON L 4B 1B4,,"46,173.42"
Golden Nest Canada Inc,"37 Esna Park Drive, Unit # 2 Markham ON L 3R 1C9",,"15,618.87"
GRAND OCEAN INTERNATIONAL TRADING LTD,119 - 3231 No. 6 Road Richmond BC V 6V 1P6,,"72,219.81"
GREAT GRACE ENTERPRISE,8481 Keele St Concord ON L 4K 1Z6,,"57,686.61"
GREAT MOUNTAIN GINSENG CO. LTD,"16 East Wilmot St , Unit A Richmond Hill ON L 4B 1C8",,"2,194.40"
Gree 11875299 Canada Inc,"634 colby dr, unit 1 waterloo ON N 2V 1A2",,770.55
GREEN MOUNTAIN INTERNATIONAL CORPORATION,3302 - 50 ANN O'REILLY ROAD North York ON M 2J 0E1,,"64,084.79"
