creditor_name,location,claim_amount
11159534 CANADA INC 16 london plane dr,Markham ON L 6C 0X7,"2,374.66"
11159534 CANADA INC 4441 HWY7 EAST,Unionville ON L 3R 1M1,"1,223.47"
12038218 Canada Inc. 1 Isaiah Dr,Woodbridge ON L 4H 0C3,"1,688.52"
12329697 CANADA INC 24 ROUGE ST,MARKHAM ON L 3P 1K8,"7,783.36"
13159302 Canada Inc. 87 sandyhaven dr,scarborough ON M 1W3H8,664.94
13614603 CANADA INC 243 Dunview Ave,North York ON M 2N4J3,"3,916.52"
"14209915 Canada Inc. 3225 Hwy 7 E, Unit 1-A",Markham ON L 3R 3P3,490.23
2781450 Ontario Inc. 28 Donald Buttress Blvd West,Markham ON L 6C 0P1,299.30
5034233 Ontario Corp. 2165 Williams Pkwy,Bramton ON L 6S 6B8,"9,156.89"
6 DEGREES P.O . Box 8492,HOLDINGS (11753649 St John's NL A 1B 3T3 CANADA INC ),"11,766.68"
9317-0124 QUEBEC INC. 601 Gordon Baker Rd,North York ON M 2H3B8,"6,797.17"
9450 -7811 Quebec Inc. 7320 CORDNER RUE,DOKING LASALLE QC H 8N2W8,"1,014.58"
"A quality life RM12,","20 /F, Ho King Comm CTR, 2-16 Fayuen ST Kowloon Hong Kong","33,220.67"
ADORACARE CANADA INC,"160 BRADWICK DR ., UNIT 30 CONCORD ON L 4K 1K8","20,007.10"
Ailand Accessories Co,75 The Donway W. Unit 809 North York ON M 3C 2E9,260.02
AIMCO TRADING LTD,4131 Vanguard Road Richmond BC V 6X 2P6,"5,335.53"
AJ International Trading,375 Edward Ave Richmond Hill ON L 4C 5E5,"159,244.27"
ALLIED PIONNEERS,"235 Riviera Drive, Unit 2 ENTERPRISES TORONTO Toronto ON L 3R 5J9 CO","21,838.02"
AMAZBUY(VISIONUP) US,4054 148th Ave NE Redmond WA 98052 USA,"5,896.37"
"America Jiayi, Inc",1355 Darius Ct CITY OF INDUSTRY CA 91745 USA,"88,310.09"
American Express Company,2225 sheppard avenue east Toronto ON M 2J 5C2,"356,858.00"
ANTBOX #20-8481 Keele St,Concord ON L 4K 1Z6,"9,417.41"
Ark Global Trading,41 Sandham Crescent Markham ON L 3S 4J7,324.60
ASIS US,"1250 N Lakeview Ave, Ste J Anaheim CA 92807 USA","4,998.80"
Avison Young ITF Rothman Suite 2500-,"222 Bay Street,PO Box 245 Real Estate Investment Ltd . Toronto ON M 5K 1J5","137,229.00"
Ayming Canada Inc,,"57,357.67"
B&P WHOLES,58 truman rd north york ON M 2L 2L6,"3,189.88"
BAI&SUN FOOD DISTRITION,710 Progress Ave Unit 7 & 8 INC Scarborough ON M 1H 2X3,"162,917.20"
BAO Lab,2750 14th Ave Markham ON L 3R 0B6,"9,994.92"
BCC GLOBAL INC,19223 COLIMA ROAD #806 ROWLAND HEIGHTS CA 91748 USA,"9,658.01"
Blue sea rising,6/F MANULIFE PLACE 348 KWUN TONG RD KL Kowloon Hong Kong,"2,064.55"
"BoBo Island Gongyuan North Road, Yuxiuwan, No .8 building,Linfen",City Shanxi Providence 41000 China,"2,378.22"
"BOBO ISLAND ON-20028 Gongyuan North Road, Yuxiuwan, No .8 building,",Linfen City Shanxi Providence 41000 China,"8,470.25"
BUBBLE RM,2609 China Resources BLDG 26 Harbour RD Wanchai Hong Kong,291.49
CANADA BERRIES GROUP,627 -6081 NO .3 ROAD COMPANIES RICHMOND BC V 6Y 2B2,260.00
CANADA POST,2701 RIVERSIDE DRIVE CORPORATION Ottawa ON K 1A 0B1 PAYMENT PROCESSING,"5,705.23"
CANADA ROYAL MILK,"1133 Melville Street, Suite 2700 BC-20009 Vancouver BC V 6E 4E5","2,614.48"
CANADA ROYAL MILK,"1133 Melville Street, Suite 2700 ON-20006 Vancouver BC V 6E 4E5","1,016.74"
CANADA ROYAL MILK,"1133 Melville Street, Suite 2700 ON-20008 Vancouver BC V 6E 4E5","5,379.46"
Capelin Garment Corp,3005 -761 Bay Street Toronto ON M 5G 2R2,"1,411.33"
CBL Trading Inc,10 Newgale Gate Unit 4-5 Scarborough ON M 1X 1C5,"191,468.50"
CHINESE BOOK CITY,6-9033 Leslie St Richmond Hill ON L 4B4K3,"21,962.29"
CONSOLIDATED CANADIAN UNIT,100 -13500 VERDUN PLACE ENTERPRISE LTD RICHMOND BC V 6V 1V2,"27,496.98"
Creative Workshop,11-80 West Beaver Creek Richmond Hill ON L 4B 1H3,393.78
CURRENTBODY.COM LTD Unit D6 Commercial Avenue Stanley Green Industrial,"Estate, Cheadle Hulme Cheshire SK8 6QH United Kingdom",735.26
DLJ TRADING INC,158 -11860 Hammersmith Way Richmond BC V 7A 5G1,"1,705.48"
DOKING ON-20026,7320 Rue Cordner LaSalle QC H 8N 2W8,"4,256.67"
"DONGHWA TRADING #1001 J-Tower 2, Bangchuk -ro 312, Michuhol -gu",CO.LTD Incheon South Korea,"60,900.76"
East Starland International,2450 MORINGSIDE AVE UNIT 8 TORONTO ON M 1X 2E5,475.85
EF Trading,24-1295 Eglinton Ave E Mississauga ON L 4W 3E6,"19,664.22"
Emerging Tides of the Blue,6/F MANULIFE PLACE 348 KWUN TONG RD KL Sea Hong Kong 999077 Hong Kong,"1,907.45"
EMME FOOD ENTERPRISES #100 -14351 Burrows Rd,Richmond BC V 6V 1K9,"22,632.79"
Employees,355 Apple Creek Blvd Markham ON L 3R 9X7,"318,000.00"
"ENSONKAN Canada 278,",13986 Cambie Road Richmond BC V 6V2K3,"2,011.51"
ENTURY GROW (SG),6 RAFFLES QUAY #14 -06 PTE .LTD Singapore Singapore,"1,018.72"
EVERY GREEN 2071McCowan Road,INTERMATIONAL INC SCARBOROUGH ON M 1S 3Y6,"28,051.68"
EZLINK LOGISTICS LTD,6711 Elmbridge Way #200 Richmond BC V 6K 4V2,"14,155.05"
FANTONG INC,25 sandwood Dr Thornhill ON L 4J 8W8,376.00
Federal Express Corporation,,"666,319.83"
FEDEX CANADA,5550 Explorer Dr #600 Mississauga ON L 4W 0C3,"117,731.84"
Fidelitech Canada Inc,217 Bachman Dr Vaughan ON L 6A 3V7,"116,403.04"
